U+4E01		丁	⿱一亅
U+65CB		旋	⿰方𭻾
U+65CC		旌	⿰方⿱𠂉生
U+65CE		旎	⿰方⿱𠂉尼
U+65CF		族	⿰方⿱𠂉矢
U+65D6		旖	⿰方⿱𠂉奇
U+65D7		旗	⿰方⿱𠂉其
U+65E2		既	既
U+65E5		日	日
U+65E6		旦	⿱日一
U+65E8		旨	⿱匕日
U+65E9		早	⿱日十
U+65EC		旬	⿹勹日
U+65ED		旭	⿺九日
U+65F1		旱	⿱日干
U+65FA		旺	⿰日王
U+6600		昀	⿰日匀
U+6602		昂	⿱日卬
U+6606		昆	⿱日比
U+660C		昌	⿱日日
U+660E		明	⿰日月
U+660F		昏	⿱氏日
U+6613		易	⿱日勿
U+6614		昔	⿱龷日
U+661F		星	⿱日生
U+6620		映	⿰日央
U+6625		春	⿱𡗗日
U+6627		昧	⿰日未
U+6628		昨	⿰日乍
U+662D		昭	⿰日召
U+662F		是	⿱日𤴓
U+6642		時	⿰日寺
U+6643		晃	⿱日光
U+6649		晉	⿱⿳一厸一日
U+664C		晌	⿰日向
U+664F		晏	⿱日安
U+6652		晒	⿰日西
U+665A		晚	⿰日免
U+665D		晝	⿱⿱𦘒一旦
U+6664		晤	⿰日吾
U+6666		晦	⿰日每
U+6668		晨	⿱日辰
U+666E		普	⿱並日
U+666F		景	⿱日京
U+6670		晰	⿰日析
U+6674		晴	⿰日青
U+6676		晶	⿱日昍
U+667A		智	⿱知日
U+6687		暇	⿰日叚
U+6688		暈	⿱日軍
U+6689		暉	⿰日軍
U+6691		暑	⿱日者
U+6696		暖	⿰日爰
U+6697		暗	⿰日音
U+66A2		暢	⿰申昜
U+66A8		暨	⿱既旦
U+66AB		暫	⿱斬日
U+66AE		暮	⿱莫日
U+66B4		暴	⿱日㳟
U+66B9		暹	⿺辶⿱日隹
U+66C6		曆	⿸厤日
U+66C9		曉	⿰日堯
U+66D6		曖	⿰日愛
U+66D9		曙	⿰日署
U+66DD		曝	⿰日暴
U+66E0		曠	⿰日廣
U+66E6		曦	⿰日羲
U+66F0		曰	曰
U+66F2		曲	曲
U+66F3		曳	曳
U+66F4		更	更
U+66F7		曷	⿱日匃
U+66F8		書	⿱⿱𦘒一日
U+66F9		曹	曹
U+66FC		曼	⿳日罒又
U+66FE		曾	⿱丷𭥴
U+66FF		替	⿱㚘日
U+6700		最	⿱日取
U+6703		會	⿱亼𭥴
U+6708		月	月
U+6709		有	⿸𠂇月
U+670B		朋	⿰月月
U+670D		服	⿰月𠬝
U+6714		朔	⿰屰月
U+6715		朕	⿰月关
U+6717		朗	⿰良月
U+671B		望	⿱⿰亡月王
U+671D		朝	⿰𠦝月
U+671F		期	⿰其月
U+6726		朦	⿰月蒙
U+6727		朧	⿰月龍
U+6728		木	木
U+672A		未	未
U+672B		末	末
U+672C		本	本
U+672D		札	⿰木乚
U+672E		朮	⿺𣎳丶
U+6731		朱	朱
U+6734		朴	⿰木卜
U+6735		朵	⿱几木
U+673D		朽	⿰木丂
U+6749		杉	⿰木彡
U+674E		李	⿱木子
U+674F		杏	⿱木口
U+6750		材	⿰木才
U+6751		村	⿰木寸
U+6756		杖	⿰木丈
U+675C		杜	⿰木土
U+675E		杞	⿰木己
U+675F		束	束
U+676D		杭	⿰木亢
U+676F		杯	⿰木不
U+6770		杰	⿱木灬
U+6771		東	東
U+6773		杳	⿱木日
U+6775		杵	⿰木午
U+6777		杷	⿰木巴
U+677E		松	⿰木公
U+677F		板	⿰木反
U+6787		枇	⿰木比
U+6789		枉	⿰木王
U+678B		枋	⿰木方
U+6790		析	⿰木斤
U+6795		枕	⿰木冘
U+6797		林	⿰木木
U+679A		枚	⿰木攵
U+679C		果	果
U+679D		枝	⿰木支
U+67AF		枯	⿰木古
U+67B4		枴	⿰木叧
U+67B6		架	⿱加木
U+67B8		枸	⿰木句
U+67C4		柄	⿰木丙
U+67CF		柏	⿰木白
U+67D0		某	⿱甘木
U+67D1		柑	⿰木甘
U+67D3		染	⿱氿木
U+67D4		柔	⿱矛木
U+67DA		柚	⿰木由
U+67DE		柞	⿰木乍
U+67E5		查	⿱木旦
U+67E9		柩	⿰木匛
U+67EC		柬	柬
U+67EF		柯	⿰木可
U+67F1		柱	⿰木主
U+67F3		柳	⿰木卯
U+67F4		柴	⿱此木
U+67F5		柵	⿰木冊
U+67FF		柿	⿰木市
U+6813		栓	⿰木全
U+6817		栗	⿱覀木
U+6821		校	⿰木交
U+6829		栩	⿰木羽
U+682A		株	⿰木朱
U+6838		核	⿰木亥
U+6839		根	⿰木艮
U+683C		格	⿰木各
U+683D		栽	⿹𢦏木
U+6840		桀	⿱舛木
U+6842		桂	⿰木圭
U+6843		桃	⿰木兆
U+6845		桅	⿰木危
U+6846		框	⿰木匡
U+6848		案	⿱安木
U+684C		桌	⿱⺊杲
U+6850		桐	⿰木同
U+6851		桑	⿱叒木
U+6853		桓	⿰木亘
U+6854		桔	⿰木吉
U+6876		桶	⿰木甬
U+687F		桿	⿰木旱
U+6881		梁	⿱⿰氵刅木
U+6883		梃	⿰木廷
U+6885		梅	⿰木每
U+6886		梆	⿰木邦
U+6893		梓	⿰木辛
U+6894		梔	⿰木巵
U+6897		梗	⿰木更
U+689D		條	⿰⿰亻丨条
U+689F		梟	梟
U+68A2		梢	⿰木肖
U+68A7		梧	⿰木吾
U+68A8		梨	⿱利木
U+68AD		梭	⿰木夋
U+68AF		梯	⿰木弟
U+68B0		械	⿰木戒
U+68B1		梱	⿰木困
U+68B3		梳	⿰木㐬
U+68B5		梵	⿱林凡
U+68C4		棄	⿱𠫓𭩠
U+68C9		棉	⿰木帛
U+68CB		棋	⿰木其
U+68CD		棍	⿰木昆
U+68D2		棒	⿰木奉
U+68D5		棕	⿰木宗
U+68D7		棗	⿱朿朿
U+68D8		棘	⿰朿朿
U+68DA		棚	⿰木朋
U+68DF		棟	⿰木東
U+68E0		棠	⿱𫩠木
U+68E3		棣	⿰木隶
U+68E7		棧	⿰木戔
U+68EE		森	⿱木林
U+68F2		棲	⿰木妻
U+68F5		棵	⿰木果
U+68F9		棹	⿰木卓
U+68FA		棺	⿰木官
U+6905		椅	⿰木奇
U+690D		植	⿰木直
U+690E		椎	⿰木隹
U+6912		椒	⿰木叔
U+6930		椰	⿰木耶
U+694A		楊	⿰木昜
U+6953		楓	⿰木風
U+6954		楔	⿰木契
U+695A		楚	⿱林疋
U+695E		楞	⿰木𬙙
U+6960		楠	⿰木南
U+6968		楨	⿰木貞
U+696B		楫	⿰木咠
U+696D		業	⿱业𦍎
U+6975		極	⿰木亟
U+6977		楷	⿰木皆
U+6979		楹	⿰木盈
U+6982		概	⿰木既
U+6986		榆	⿰木俞
U+6994		榔	⿰木郎
U+6995		榕	⿰木容
U+699B		榛	⿰木秦
U+699C		榜	⿰木旁
U+69A8		榨	⿰木窄
U+69AB		榫	⿰木隼
U+69AD		榭	⿰木射
U+69AE		榮	⿱𤇾木
U+69B4		榴	⿰木留
U+69B7		榷	⿰木隺
U+69BB		榻	⿰木𦐇
U+69C1		槁	⿰木高
U+69CB		構	⿰木冓
U+69CC		槌	⿰木追
U+69CD		槍	⿰木倉
U+69D0		槐	⿰木鬼
U+69D3		槓	⿰木貢
U+69E8		槨	⿰木郭
U+69F3		槳	⿱將木
U+69FD		槽	⿰木曹
U+6A01		樁	⿰木舂
U+6A02		樂	⿱⿲幺白幺木
U+6A05		樅	⿰木從
U+6A0A		樊	⿱棥大
U+6A13		樓	⿰木婁
U+6A19		標	⿰木票
U+6A1E		樞	⿰木區
U+6A1F		樟	⿰木章
U+6A21		模	⿰木莫
U+6A23		樣	⿰木羕
U+6A35		樵	⿰木焦
U+6A38		樸	⿰木菐
U+6A39		樹	⿰木尌
U+6A3A		樺	⿰木華
U+6A3D		樽	⿰木尊
U+6A44		橄	⿰木敢
U+6A47		橇	⿰木毳
U+6A4B		橋	⿰木喬
U+6A58		橘	⿰木矞
U+6A59		橙	⿰木登
U+6A5F		機	⿰木幾
U+6A61		橡	⿰木象
U+6A62		橢	⿰木隋
U+6A6B		橫	⿰木黃
U+6A80		檀	⿰木亶
U+6A84		檄	⿰木敫
U+6A94		檔	⿰木當
U+6A9C		檜	⿰木會
U+6AA2		檢	⿰木僉
U+6AAC		檬	⿰木蒙
U+6AB3		檳	⿰木賓
U+6AB8		檸	⿰木寧
U+6ABB		檻	⿰木監
U+6AC2		櫂	⿰木翟
U+6AC3		櫃	⿰木匱
U+6AD3		櫓	⿰木魯
U+6ADA		櫚	⿰木閭
U+6ADB		櫛	⿰木節
U+6ADD		櫝	⿰木賣
U+6AE5		櫥	⿰木廚
U+6AFB		櫻	⿰木嬰
U+6B04		欄	⿰木闌
U+6B0A		權	⿰木雚
U+6B16		欖	⿰木覽
U+6B20		欠	欠
U+6B21		次	⿰冫欠
U+6B23		欣	⿰斤欠
U+6B32		欲	⿰谷欠
U+6B3A		欺	⿰其欠
U+6B3D		欽	⿰金欠
U+6B3E		款	⿰⿱士示欠
U+6B47		歇	⿰曷欠
U+6B49		歉	⿰兼欠
U+6B4C		歌	⿰哥欠
U+6B50		歐	⿰區欠
U+6B59		歙	⿰翕欠
U+6B5F		歟	⿰與欠
U+6B61		歡	⿰雚欠
U+6B62		止	止
U+6B63		正	⿱一止
U+6B64		此	⿰止匕
U+6B65		步	⿱止𣥂
U+6B66		武	⿹⿶弋一止
U+6B67		歧	⿰止支
U+6B6A		歪	⿱不正
U+6B72		歲	⿱止⿵戌𣥂
U+6B77		歷	⿸厤止
U+6B78		歸	⿰⿱𠂤止帚
U+6B79		歹	⿱一夕
U+6B7B		死	⿸歹匕
U+6B7F		歿	⿰歹⿱勹又
U+6B83		殃	⿰歹央
U+6B86		殆	⿰歹台
U+6B89		殉	⿰歹旬
U+6B8A		殊	⿰歹朱
U+6B96		殖	⿰歹直
U+6B98		殘	⿰歹戔
U+6BA4		殤	⿰歹𬀷
U+6BAE		殮	⿰歹僉
U+6BAF		殯	⿰歹賓
U+6BB2		殲	⿰歹韱
U+6BB5		段	段
U+6BB7		殷	⿰㐆殳
U+6BBA		殺	⿰杀殳
U+6BBC		殼	⿰壳殳
U+6BBF		殿	⿰𡱒殳
U+6BC0		毀	⿰⿱臼土殳
U+6BC5		毅	⿰豙殳
U+6BC6		毆	⿰區殳
U+6BCB		毋	毋
U+6BCD		母	母
U+6BCF		每	⿱𠂉母
U+6BD2		毒	⿱龶母
U+6BD3		毓	⿰每㐬
U+6BD4		比	比
U+6BD7		毗	⿰田比
U+6BDB		毛	毛
U+6BEB		毫	⿱⿳亠口冖毛
U+6BEF		毯	⿺毛炎
U+6BFD		毽	⿺毛建
U+6C0F		氏	氏
U+6C10		氐	⿱氏丶
U+6C11		民	民
U+6C13		氓	⿰亡民
U+6C16		氖	⿹气乃
U+6C1B		氛	⿹气分
U+6C1F		氟	⿹气弗
U+6C23		氣	⿹气米
U+6C24		氤	⿹气因
U+6C26		氦	⿹气亥
U+6C27		氧	⿹气羊
U+6C28		氨	⿹气安
U+6C2B		氫	⿹气巠
U+6C2E		氮	⿹气炎
U+6C2F		氯	⿹气录
U+6C33		氳	⿹气𥁕
U+6C34		水	⿲㇇亅⿺乀丿
U+6C38		永	永
U+6C3E		氾	⿰氵㔾
U+6C40		汀	⿰氵丁
U+6C41		汁	⿰氵十
U+6C42		求	求
U+6C50		汐	⿰氵夕
U+6C55		汕	⿰氵山
U+6C57		汗	⿰氵干
U+6C59		汙	⿰氵于
U+6C5D		汝	⿰氵女
U+6C5E		汞	⿱工水
U+6C5F		江	⿰氵工
U+6C60		池	⿰氵也
U+6C68		汨	⿰氵日
U+6C6A		汪	⿰氵王
U+6C70		汰	⿰氵太
U+6C72		汲	⿰氵及
U+6C7A		決	⿰氵夬
U+6C7D		汽	⿰氵气
U+6C7E		汾	⿰氵分
U+6C81		沁	⿰氵心
U+6C83		沃	⿰氵夭
U+6C85		沅	⿰氵元
U+6C88		沈	⿰氵冘
U+6C89		沉	⿰氵冗
U+6C8C		沌	⿰氵屯
U+6C90		沐	⿰氵木
U+6C92		沒	⿰氵⿱勹又
U+6C96		沖	⿰氵中
U+6C99		沙	⿰氵少
U+6C9B		沛	⿰氵巿
U+6CAB		沫	⿰氵末
U+6CAE		沮	⿰氵且
U+6CB1		沱	⿰氵它
U+6CB3		河	⿰氵可
U+6CB8		沸	⿰氵弗
U+6CB9		油	⿰氵由
U+6CBB		治	⿰氵台
U+6CBC		沼	⿰氵召
U+6CBD		沽	⿰氵古
U+6CBE		沾	⿰氵占
U+6CBF		沿	⿰氵⿱几口
U+6CC1		況	⿰氵兄
U+6CC4		泄	⿰氵世
U+6CC5		泅	⿰氵囚
U+6CC9		泉	⿱白水
U+6CCA		泊	⿰氵白
U+6CCC		泌	⿰氵必
U+6CD3		泓	⿰氵弘
U+6CD5		法	⿰氵去
U+6CD7		泗	⿰氵四
U+6CDB		泛	⿰氵乏
U+6CE1		泡	⿰氵包
U+6CE2		波	⿰氵皮
U+6CE3		泣	⿰氵立
U+6CE5		泥	⿰氵尼
U+6CE8		注	⿰氵主
U+6CF0		泰	⿱𡗗氺
U+6CF1		泱	⿰氵央
U+6CF3		泳	⿰氵永
U+6D0B		洋	⿰氵羊
U+6D0C		洌	⿰氵列
U+6D17		洗	⿰氵先
U+6D1B		洛	⿰氵各
U+6D1E		洞	⿰氵同
U+6D25		津	⿰氵聿
U+6D2A		洪	⿰氵共
U+6D31		洱	⿰氵耳
U+6D32		洲	⿰氵州
U+6D36		洶	⿰氵匈
U+6D3B		活	⿰氵舌
U+6D3D		洽	⿰氵合
U+6D3E		派	⿰氵𠂢
U+6D41		流	⿰氵㐬
U+6D59		浙	⿰氵折
U+6D5A		浚	⿰氵夋
U+6D66		浦	⿰氵甫
U+6D69		浩	⿰氵告
U+6D6A		浪	⿰氵良
U+6D6C		浬	⿰氵里
U+6D6E		浮	⿰氵孚
U+6D74		浴	⿰氵谷
U+6D77		海	⿰氵每
U+6D78		浸	⿰氵𠬶
U+6D87		涇	⿰氵巠
U+6D88		消	⿰氵肖
U+6D89		涉	⿰氵步
U+6D8E		涎	⿰氵延
U+6D93		涓	⿰氵肙
U+6D95		涕	⿰氵弟
U+6DAE		涮	⿰氵刷
U+6DAF		涯	⿰氵厓
U+6DB2		液	⿰氵夜
U+6DB5		涵	⿰氵函
U+6DB8		涸	⿰氵固
U+6DBC		涼	⿰氵京
U+6DC4		淄	⿰氵甾
U+6DC5		淅	⿰氵析
U+6DC6		淆	⿰氵肴
U+6DC7		淇	⿰氵其
U+6DCB		淋	⿰氵林
U+6DCC		淌	⿰氵尚
U+6DD1		淑	⿰氵叔
U+6DD2		淒	⿰氵妻
U+6DD8		淘	⿰氵匋
U+6DD9		淙	⿰氵宗
U+6DDA		淚	⿰氵戾
U+6DDE		淞	⿰氵松
U+6DE1		淡	⿰氵炎
U+6DE4		淤	⿰氵於
U+6DE8		淨	⿰氵爭
U+6DEA		淪	⿰氵侖
U+6DEB		淫	⿰氵㸒
U+6DEE		淮	⿰氵隹
U+6DF1		深	⿰氵罙
U+6DF3		淳	⿰氵享
U+6DF5		淵	⿰氵𣶒
U+6DF7		混	⿰氵昆
U+6DF9		淹	⿰氵奄
U+6DFA		淺	⿰氵戔
U+6DFB		添	⿰氵忝
U+6E05		清	⿰氵青
U+6E19		渙	⿰氵奐
U+6E1A		渚	⿰氵者
U+6E1B		減	⿰氵咸
U+6E1D		渝	⿰氵俞
U+6E20		渠	⿱洰木
U+6E21		渡	⿰氵度
U+6E23		渣	⿰氵查
U+6E24		渤	⿰氵勃
U+6E25		渥	⿰氵屋
U+6E26		渦	⿰氵咼
U+6E2C		測	⿰氵則
U+6E2D		渭	⿰氵胃
U+6E2F		港	⿰氵巷
U+6E32		渲	⿰氵宣
U+6E34		渴	⿰氵曷
U+6E38		游	⿰氵斿
U+6E3A		渺	⿰氵眇
U+6E3E		渾	⿰氵軍
U+6E43		湃	⿰氵拜
U+6E4A		湊	⿰氵奏
U+6E4D		湍	⿰氵耑
U+6E54		湔	⿰氵前
U+6E56		湖	⿰氵胡
U+6E58		湘	⿰氵相
U+6E5B		湛	⿰氵甚
U+6E67		湧	⿰氵勇
U+6E6E		湮	⿰氵垔
U+6E6F		湯	⿰氵昜
U+6E89		溉	⿰氵既
U+6E90		源	⿰氵原
U+6E96		準	⿱淮十
U+6E98		溘	⿰氵盍
U+6E9C		溜	⿰氵留
U+6E9D		溝	⿰氵冓
U+6EA2		溢	⿰氵益
U+6EA5		溥	⿰氵尃
U+6EAA		溪	⿰氵奚
U+6EAB		溫	⿰氵𥁕
U+6EAF		溯	⿰氵朔
U+6EB6		溶	⿰氵容
U+6EBA		溺	⿰氵弱
U+6EBC		溼	⿰氵𡌥
U+6EC2		滂	⿰氵旁
U+6EC4		滄	⿰氵倉
U+6EC5		滅	⿰氵烕
U+6EC7		滇	⿰氵真
U+6ECB		滋	⿰氵兹
U+6ECC		滌	⿰氵條
U+6ED1		滑	⿰氵骨
U+6ED3		滓	⿰氵宰
U+6ED4		滔	⿰氵舀
U+6EEC		滬	⿰氵扈
U+6EEF		滯	⿰氵帶
U+6EF2		滲	⿰氵參
U+6EF4		滴	⿰氵啇
U+6EFE		滾	⿰氵袞
U+6EFF		滿	⿰氵㒼
U+6F01		漁	⿰氵魚
U+6F02		漂	⿰氵票
U+6F06		漆	⿰氵桼
U+6F0F		漏	⿰氵屚
U+6F13		漓	⿰氵离
U+6F14		演	⿰氵寅
U+6F15		漕	⿰氵曹
U+6F20		漠	⿰氵莫
U+6F22		漢	⿰氵𦰩
U+6F23		漣	⿰氵連
U+6F29		漩	⿰氵旋
U+6F2A		漪	⿰氵猗
U+6F2B		漫	⿰氵曼
U+6F2C		漬	⿰氵責
U+6F2F		漯	⿰氵累
U+6F31		漱	⿰氵欶
U+6F32		漲	⿰氵張
U+6F33		漳	⿰氵章
U+6F38		漸	⿰氵斬
U+6F3E		漾	⿰氵羕
U+6F3F		漿	⿱將水
U+6F51		潑	⿰氵發
U+6F54		潔	⿰氵絜
U+6F58		潘	⿰氵番
U+6F5B		潛	⿰氵朁
U+6F64		潤	⿰氵閏
U+6F66		潦	⿰氵尞
U+6F6D		潭	⿰氵覃
U+6F6E		潮	⿰氵朝
U+6F70		潰	⿰氵貴
U+6F78		潸	⿰氵⿱林月
U+6F7A		潺	⿰氵孱
U+6F7C		潼	⿰氵童
U+6F80		澀	⿰氵歰
U+6F84		澄	⿰氵登
U+6F86		澆	⿰氵堯
U+6F88		澈	⿲氵育攵
U+6F8E		澎	⿰氵彭
U+6F97		澗	⿰氵間
U+6FA1		澡	⿰氵喿
U+6FA4		澤	⿰氵睪
U+6FA7		澧	⿰氵豊
U+6FB1		澱	⿰氵殿
U+6FB3		澳	⿰氵奥
U+6FB9		澹	⿰氵詹
U+6FC0		激	⿰氵敫
U+6FC1		濁	⿰氵蜀
U+6FC2		濂	⿰氵廉
U+6FC3		濃	⿰氵農
U+6FD8		濘	⿰氵寧
U+6FDB		濛	⿰氵蒙
U+6FDF		濟	⿰氵齊
U+6FE0		濠	⿰氵豪
U+6FE1		濡	⿰氵需
U+6FE4		濤	⿰氵壽
U+6FEB		濫	⿰氵監
U+6FEC		濬	⿰氵睿
U+6FEF		濯	⿰氵翟
U+6FF1		濱	⿰氵賓
U+6FFA		濺	⿰氵賤
U+6FFE		濾	⿰氵慮
U+7006		瀆	⿰氵賣
U+7009		瀉	⿰氵寫
U+700B		瀋	⿰氵審
U+700F		瀏	⿰氵劉
U+7011		瀑	⿰氵暴
U+7015		瀕	⿰氵頻
U+701A		瀚	⿰氵翰
U+701B		瀛	⿰氵嬴
U+701D		瀝	⿰氵歷
U+701F		瀟	⿰氵蕭
U+7028		瀨	⿰氵賴
U+7030		瀰	⿰氵彌
U+703E		瀾	⿰氵闌
U+704C		灌	⿰氵雚
U+7051		灑	⿰氵麗
U+7058		灘	⿰氵難
U+7063		灣	⿰氵彎
U+7064		灤	⿰氵欒
U+706B		火	⿱八人
U+7070		灰	⿸𠂇火
U+7076		灶	⿰火土
U+7078		灸	⿱久火
U+707C		灼	⿰火勺
U+707D		災	⿱巛火
U+708A		炊	⿰火欠
U+708E		炎	⿱火火
U+7092		炒	⿰火少
U+7095		炕	⿰火亢
U+7099		炙	⿱⿴𠂊⺀火
U+70AB		炫	⿰火玄
U+70AC		炬	⿰火巨
U+70AD		炭	⿱山灰
U+70AE		炮	⿰火包
U+70AF		炯	⿰火冋
U+70B3		炳	⿰火丙
U+70B8		炸	⿰火乍
U+70BA		為	為
U+70C8		烈	⿱列灬
U+70CA		烊	⿰火羊
U+70CF		烏	烏
U+70D8		烘	⿰火共
U+70D9		烙	⿰火各
U+70E4		烤	⿰火考
U+70F9		烹	⿱亨灬
U+70FD		烽	⿰火夆
U+7109		焉	焉
U+710A		焊	⿰火旱
U+7119		焙	⿰火咅
U+711A		焚	⿱林火
U+7121		無	⿱⿳𠂉卌一灬
U+7126		焦	⿱隹灬
U+7130		焰	⿰火臽
U+7136		然	⿱⿰⿴𠂊冫犬灬
U+7149		煉	⿰火柬
U+714C		煌	⿰火皇
U+714E		煎	⿱前灬
U+7159		煙	⿰火垔
U+715C		煜	⿰火昱
U+715E		煞	⿱𭣦灬
U+7164		煤	⿰火某
U+7165		煥	⿰火奐
U+7166		煦	⿱昫灬
U+7167		照	⿱昭灬
U+7169		煩	⿰火頁
U+716C		煬	⿰火昜
U+716E		煮	⿱者灬
U+717D		煽	⿰火扇
U+7184		熄	⿰火息
U+718A		熊	⿱能灬
U+7194		熔	⿰火容
U+7199		熙	⿱巸灬
U+719F		熟	⿱孰灬
U+71A8		熨	⿱尉火
U+71AC		熬	⿱敖灬
U+71B1		熱	⿱埶灬
U+71B9		熹	⿱喜灬
U+71BE		熾	⿰火戠
U+71C3		燃	⿰火然
U+71C4		燄	⿰臽炎
U+71C8		燈	⿰火登
U+71C9		燉	⿰火敦
U+71CE		燎	⿰火尞
U+71D0		燐	⿰火粦
U+71D2		燒	⿰火堯
U+71D5		燕	⿳廿⿴北口灬
U+71D9		燙	⿱湯火
U+71DC		燜	⿰火悶
U+71DF		營	⿱𤇾呂
U+71E5		燥	⿰火喿
U+71E6		燦	⿰火粲
U+71E7		燧	⿰火遂
U+71EC		燬	⿰火毁
U+71ED		燭	⿰火蜀
U+71EE		燮	⿱⿲火言火又
U+71F4		燴	⿰火會
U+71FB		燻	⿰火熏
U+7206		爆	⿰火暴
U+720D		爍	⿰火樂
U+7210		爐	⿰火盧
U+721B		爛	⿰火闌
U+7228		爨	⿱⿶⿱𦥑冖同𤍾
U+722A		爪	爪
U+722C		爬	⿺爪巴
U+722D		爭	爭
U+7230		爰	⿳爫一友
U+7235		爵	⿳爫罒𡬠
U+7236		父	⿱八乂
U+7238		爸	⿱父巴
U+7239		爹	⿱父多
U+723A		爺	⿱父耶
U+723B		爻	⿱㐅乂
U+723D		爽	爽
U+723E		爾	爾
U+7246		牆	⿰爿嗇
U+7247		片	片
U+7248		版	⿰片反
U+724C		牌	⿰片卑
U+7252		牒	⿰片枼
U+7256		牖	⿰片⿸户甫
U+7258		牘	⿰片賣
U+7259		牙	牙
U+725B		牛	牛
U+725D		牝	⿰牛匕
U+725F		牟	⿱厶牛
U+7260		牠	⿰牛也
U+7261		牡	⿰牛土
U+7262		牢	⿱宀牛
U+7267		牧	⿰牛攵
U+7269		物	⿰牛勿
U+726F		牯	⿰牛古
U+7272		牲	⿰牛生
U+7274		牴	⿰牛氐
U+7279		特	⿰牛寺
U+727D		牽	牽
U+7280		犀	犀
U+7281		犁	⿱利牛
U+7284		犄	⿰牛奇
U+7292		犒	⿰牛高
U+7296		犖	⿱𤇾牛
U+729B		犛	⿸𠩺牛
U+72A2		犢	⿰牛賣
U+72A7		犧	⿰牛羲
U+72AC		犬	犬
U+72AF		犯	⿰犭㔾
U+72C0		狀	⿰爿犬
U+72C2		狂	⿰犭王
U+72C4		狄	⿰犭火
U+72CE		狎	⿰犭甲
U+72D0		狐	⿰犭瓜
U+72D7		狗	⿰犭句
U+72D9		狙	⿰犭且
U+72E0		狠	⿰犭艮
U+72E1		狡	⿰犭交
U+72E9		狩	⿰犭守
U+72F7		狷	⿰犭肙
U+72F8		狸	⿰犭里
U+72F9		狹	⿰犭夾
U+72FC		狼	⿰犭良
U+72FD		狽	⿰犭貝
U+7313		猓	⿰犭果
U+7316		猖	⿰犭昌
U+7319		猙	⿰犭爭
U+731B		猛	⿰犭孟
U+731C		猜	⿰犭青
U+7325		猥	⿰犭畏
U+7329		猩	⿰犭星
U+7334		猴	⿰犭侯
U+7336		猶	⿰犭酋
U+7337		猷	⿰酋犬
U+733E		猾	⿰犭骨
U+733F		猿	⿰犭袁
U+7344		獄	⿲犭言犬
U+7345		獅	⿰犭師
U+734E		獎	⿱將犬
U+7350		獐	⿰犭章
U+7357		獗	⿰犭厥
U+7368		獨	⿰犭蜀
U+7370		獰	⿰犭寧
U+7372		獲	⿰犭蒦
U+7375		獵	⿰犭巤
U+7377		獷	⿰犭廣
U+7378		獸	⿰嘼犬
U+737A		獺	⿰犭賴
U+737B		獻	⿰鬳犬
U+7380		玀	⿰犭羅
U+7384		玄	⿱亠幺
U+7387		率	率
U+7389		玉	⿷王丶
U+738B		王	⿱一土
U+7396		玖	⿰王久
U+739F		玟	⿰王文
U+73A8		玨	⿰王王
U+73A9		玩	⿰王元
U+73AB		玫	⿰王攵
U+73B2		玲	⿰王令
U+73B3		玳	⿰王代
U+73B7		玷	⿰王占
U+73BB		玻	⿰王皮
U+73C0		珀	⿰王白
U+73CA		珊	⿰王册
U+73CD		珍	⿰王㐱
U+73E0		珠	⿰王朱
U+73ED		班	班
U+73EE		珮	⿰王𫥞
U+73FE		現	⿰王見
U+7403		球	⿰王求
U+7405		琅	⿰王良
U+7406		理	⿰王里
U+7409		琉	⿰王㐬
U+740A		琊	⿰王邪
U+740D		琍	⿰王利
U+7422		琢	⿰王豖
U+7425		琥	⿰王虎
U+742A		琪	⿰王其
U+7433		琳	⿰王林
U+7434		琴	⿱玨今
U+7435		琵	⿱玨比
U+7436		琶	⿱玨巴
U+743A		琺	⿰王法
U+743F		琿	⿰王軍
U+7441		瑁	⿰王冒
U+7455		瑕	⿰王叚
U+7459		瑙	⿰王𡿺
U+745A		瑚	⿰王胡
U+745B		瑛	⿰王英
U+745C		瑜	⿰王俞
U+745E		瑞	⿰王耑
U+745F		瑟	⿱玨必
U+7463		瑣	⿰王𧴪
U+7464		瑤	⿰王䍃
U+7469		瑩	⿱𤇾玉
U+746A		瑪	⿰王馬
U+746F		瑯	⿰王郎
U+7470		瑰	⿰王鬼
U+7483		璃	⿰王离
U+748B		璋	⿰王章
U+749C		璜	⿰王黄
U+74A3		璣	⿰王幾
U+74A6		璦	⿰王愛
U+74A7		璧	⿱辟玉
U+74A9		璩	⿰王豦
U+74B0		環	⿰王睘
U+74BD		璽	⿱爾玉
U+74CA		瓊	⿰王夐
U+74CF		瓏	⿰王龍
U+74DC		瓜	瓜
U+74E0		瓠	⿰夸瓜
U+74E2		瓢	⿰票瓜
U+74E3		瓣	⿲辛瓜辛
U+74E6		瓦	瓦
U+74F6		瓶	⿰并瓦
U+74F7		瓷	⿱次瓦
U+7504		甄	⿰垔瓦
U+750C		甌	⿰區瓦
U+7515		甕	⿱雍瓦
U+7518		甘	甘
U+751A		甚	甚
U+751C		甜	⿰舌甘
U+751F		生	生
U+7522		產	⿱文⿸厂生
U+7525		甥	⿰生男
U+7526		甦	⿺更生
U+7528		用	用
U+7529		甩	甩
U+752B		甫	甫
U+752C		甬	⿱龴用
U+752D		甭	⿱不用
U+7530		田	田
U+7531		由	由
U+7532		甲	甲
U+7533		申	申
U+7537		男	⿱田力
U+7538		甸	⿹勹田
